TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2019,3,7,2,6,10XX SITKA SQ,Fairview,490612.9648,5457109.822
Break and Enter Commercial,2019,8,27,4,12,10XX ALBERNI ST,West End,491007.7798,5459174.338
Break and Enter Commercial,2019,6,9,10,58,10XX BEACH AVE,West End,490232.6157,5458203.356
Break and Enter Commercial,2019,1,6,1,36,10XX BEACH AVE,West End,490234.4136,5458201.015
Break and Enter Commercial,2019,7,21,11,21,10XX BEACH AVE,Central Business District,490249.2307,5458166.833
Break and Enter Commercial,2019,6,10,4,30,10XX BEACH AVE,Central Business District,490249.3649,5458166.658
Break and Enter Commercial,2019,4,7,15,8,10XX BEACH AVE,Central Business District,490255.5322,5458158.613
Break and Enter Commercial,2019,4,10,13,50,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2019,10,19,7,50,10XX BEACH AVE,Central Business District,490269.91,5458141.126
Break and Enter Commercial,2019,8,3,8,0,10XX BROUGHTON ST,West End,490247.1512,5459171.041
Break and Enter Commercial,2019,4,24,7,25,10XX BROUGHTON ST,West End,490270.0596,5459194.273
Break and Enter Commercial,2019,4,12,18,22,10XX BURNABY ST,West End,490439.9122,5458487.374
Break and Enter Commercial,2019,11,7,3,20,10XX BURNABY ST,West End,490495.4166,5458443.882
Break and Enter Commercial,2019,1,16,0,0,10XX BURRARD ST,Central Business District,490729.9102,5458609.396
Break and Enter Commercial,2019,5,17,6,50,10XX BURRARD ST,Central Business District,490730.3744,5458609.867
Break and Enter Commercial,2019,3,16,10,34,10XX BURRARD ST,West End,490807.6965,5458703.098
Break and Enter Commercial,2019,8,3,18,0,10XX CAMBIE ST,Central Business District,491345.1796,5458059.971
Break and Enter Commercial,2019,7,8,6,51,10XX CAMBIE ST,Central Business District,491377.5652,5458122.594
Break and Enter Commercial,2019,3,19,3,38,10XX CANADA PL,Central Business District,491492.0426,5459540.39
Break and Enter Commercial,2019,6,21,4,35,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,6,23,5,4,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,6,23,5,13,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,9,26,6,10,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,10,18,2,42,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,11,1,0,38,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,8,5,13,3,10XX CANADA PL,Central Business District,491519.5439,5459520.897
Break and Enter Commercial,2019,11,4,7,23,10XX COMMERCIAL DR,Grandview-Woodland,494937.4605,5458083.368
Break and Enter Commercial,2019,9,15,14,13,10XX COMOX ST,West End,490653.759,5458753.914
Break and Enter Commercial,2019,4,17,15,30,10XX DAVIE ST,West End,490559.7293,5458525.708
Break and Enter Commercial,2019,1,2,2,45,10XX DENMAN ST,West End,489847.4355,5459555.986
Break and Enter Commercial,2019,8,30,10,38,10XX E BROADWAY AVE,Mount Pleasant,493987.8282,5456638.006
Break and Enter Commercial,2019,2,24,6,0,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.807
Break and Enter Commercial,2019,6,5,6,12,10XX E CORDOVA ST,Strathcona,494075.0427,5458803.712
Break and Enter Commercial,2019,1,22,22,0,10XX E KENT AVE N,Sunset,493846.5284,5450670.016
